direction,direction_id,route_id,route_short_name,LineIdConst
EAST,0,6612,002,6612
WEST,1,6612,002,6612
NORTH,0,6613,003,6613
SOUTH,1,6613,003,6613
EAST,0,6614,004,6614
WEST,1,6614,004,6614
EAST,0,6615,005,6615
WEST,1,6615,005,6615
EAST,0,6616,006,6616
WEST,1,6616,006,6616
EAST,0,6617,007,6617
WEST,1,6617,007,6617
EAST,0,6618,008,6618
WEST,1,6618,008,6618
EAST,0,6619,009,6619
WEST,1,6619,009,6619
NORTH,0,6620,010,6620
SOUTH,1,6620,010,6620
EAST,0,16718,014,16718
WEST,1,16718,014,16718
NORTH,0,6621,015,6621
SOUTH,1,6621,015,6621
EAST,0,6622,016,6622
WEST,1,6622,016,6622
NORTH,0,6623,017,6623
SOUTH,1,6623,017,6623
EAST,0,6624,019,6624
WEST,1,6624,019,6624
NORTH,0,6625,020,6625
SOUTH,1,6625,020,6625
EAST,0,6626,022,6626
WEST,1,6626,022,6626
EAST,0,30055,023,30055
WEST,1,30055,023,30055
EAST,0,6627,025,6627
WEST,1,6627,025,6627
EAST,0,6628,026,6628
WEST,1,6628,026,6628
NORTH,0,6629,027,6629
SOUTH,1,6629,027,6629
NORTH,0,6630,028,6630
SOUTH,1,6630,028,6630
NORTH,0,6631,029,6631
SOUTH,1,6631,029,6631
NORTH,0,39304,031,39304
SOUTH,1,39304,031,39304
EAST,0,11201,033,11201
WEST,1,11201,033,11201
EAST,0,6633,041,6633
WEST,1,6633,041,6633
EAST,0,6635,044,6635
WEST,1,6635,044,6635
EAST,0,6636,049,6636
WEST,1,6636,049,6636
NORTH,0,6637,050,6637
SOUTH,1,6637,050,6637
NORTH,0,33538,068,33538
SOUTH,1,33538,068,33538
EAST,0,45596,080,45596
WEST,1,45596,080,45596
EAST,0,6638,084,6638
WEST,1,6638,084,6638
EAST,0,6641,099,6641
WEST,1,6641,099,6641
EAST,0,6642,100,6642
WEST,1,6642,100,6642
EAST,0,6643,101,6643
WEST,1,6643,101,6643
EAST,0,46099,102,46099
WEST,1,46099,102,46099
EAST,0,6790,103,6790
WEST,1,6790,103,6790
NORTH,0,6644,104,6644
SOUTH,1,6644,104,6644
EAST,0,6796,105,6796
WEST,1,6796,105,6796
EAST,0,6645,106,6645
WEST,1,6645,106,6645
NORTH,0,16719,109,16719
SOUTH,1,16719,109,16719
EAST,0,6646,110,6646
WEST,1,6646,110,6646
EAST,0,6647,112,6647
WEST,1,6647,112,6647
EAST,0,6648,116,6648
WEST,1,6648,116,6648
EAST,0,32799,119,32799
WEST,1,32799,119,32799
EAST,0,6649,123,6649
WEST,1,6649,123,6649
EAST,0,6662,128,6662
WEST,1,6662,128,6662
EAST,0,6650,129,6650
WEST,1,6650,129,6650
NORTH,0,6651,130,6651
SOUTH,1,6651,130,6651
EAST,0,6776,131,6776
WEST,1,6776,131,6776
NORTH,0,7322,132,7322
SOUTH,1,7322,132,7322
EAST,0,33292,133,33292
WEST,1,33292,133,33292
EAST,0,6652,134,6652
WEST,1,6652,134,6652
EAST,0,6654,136,6654
WEST,1,6654,136,6654
EAST,0,6656,143,6656
WEST,1,6656,143,6656
NORTH,0,6657,144,6657
SOUTH,1,6657,144,6657
NORTH,0,6658,145,6658
SOUTH,1,6658,145,6658
NORTH,0,6811,146,6811
SOUTH,1,6811,146,6811
EAST,0,6817,147,6817
WEST,1,6817,147,6817
EAST,0,6806,148,6806
WEST,1,6806,148,6806
EAST,0,6659,151,6659
WEST,1,6659,151,6659
EAST,0,6660,152,6660
WEST,1,6660,152,6660
EAST,0,6661,153,6661
WEST,1,6661,153,6661
EAST,0,6663,155,6663
WEST,1,6663,155,6663
EAST,0,6664,156,6664
WEST,1,6664,156,6664
EAST,0,6665,157,6665
WEST,1,6665,157,6665
EAST,0,6666,159,6666
WEST,1,6666,159,6666
EAST,0,6667,160,6667
WEST,1,6667,160,6667
EAST,0,6668,169,6668
WEST,1,6668,169,6668
NORTH,0,30036,170,30036
SOUTH,1,30036,170,30036
EAST,0,30037,171,30037
WEST,1,30037,171,30037
EAST,0,30038,172,30038
WEST,1,30038,172,30038
EAST,0,30039,173,30039
WEST,1,30039,173,30039
EAST,0,30040,174,30040
WEST,1,30040,174,30040
EAST,0,30041,175,30041
WEST,1,30041,175,30041
NORTH,0,30043,180,30043
SOUTH,1,30043,180,30043
NORTH,0,30044,181,30044
SOUTH,1,30044,181,30044
NORTH,0,30045,182,30045
SOUTH,1,30045,182,30045
EAST,0,30046,183,30046
WEST,1,30046,183,30046
NORTH,0,30047,184,30047
SOUTH,1,30047,184,30047
NORTH,0,30048,185,30048
SOUTH,1,30048,185,30048
NORTH,0,30049,186,30049
SOUTH,1,30049,186,30049
NORTH,0,30050,187,30050
SOUTH,1,30050,187,30050
EAST,0,22638,188,22638
WEST,1,22638,188,22638
NORTH,0,30051,189,30051
SOUTH,1,30051,189,30051
NORTH,0,30584,191,30584
SOUTH,1,30584,191,30584
EAST,0,16717,209,16717
WEST,1,16717,209,16717
NORTH,0,6672,210,6672
SOUTH,1,6672,210,6672
EAST,0,6673,211,6673
WEST,1,6673,211,6673
EAST,0,6674,212,6674
WEST,1,6674,212,6674
EAST,0,6675,214,6675
WEST,1,6675,214,6675
EAST,0,6780,215,6780
WEST,1,6780,215,6780
NORTH,0,39305,222,39305
SOUTH,1,39305,222,39305
NORTH,0,22639,227,22639
SOUTH,1,22639,227,22639
NORTH,0,6676,228,6676
SOUTH,1,6676,228,6676
EAST,0,6677,229,6677
WEST,1,6677,229,6677
NORTH,0,6678,230,6678
SOUTH,1,6678,230,6678
EAST,0,18213,231,18213
WEST,1,18213,231,18213
EAST,0,6679,232,6679
WEST,1,6679,232,6679
NORTH,0,6680,236,6680
SOUTH,1,6680,236,6680
EAST,0,6682,240,6682
WEST,1,6682,240,6682
NORTH,0,6683,241,6683
SOUTH,1,6683,241,6683
EAST,0,39307,245,39307
WEST,1,39307,245,39307
NORTH,0,6685,246,6685
SOUTH,1,6685,246,6685
NORTH,0,6686,247,6686
SOUTH,1,6686,247,6686
NORTH,0,36799,249,36799
SOUTH,1,36799,249,36799
EAST,0,6687,250,6687
WEST,1,6687,250,6687
EAST,0,6688,251,6688
WEST,1,6688,251,6688
EAST,0,6689,252,6689
WEST,1,6689,252,6689
EAST,0,6690,253,6690
WEST,1,6690,253,6690
NORTH,0,6691,254,6691
SOUTH,1,6691,254,6691
EAST,0,6692,255,6692
WEST,1,6692,255,6692
NORTH,0,10232,256,10232
SOUTH,1,10232,256,10232
EAST,0,6693,257,6693
WEST,1,6693,257,6693
NORTH,0,6779,262,6779
SOUTH,1,6779,262,6779
EAST,0,6777,280,6777
WEST,1,6777,280,6777
NORTH,0,6778,281,6778
SOUTH,1,6778,281,6778
NORTH,0,34544,282,34544
SOUTH,1,34544,282,34544
