Location,Latitude,Longitude
22nd Street Station,49.20007943575347,-122.948396901939
Marpole Loop,49.20308450518645,-123.13336412601143
Braid Station,49.2331434058123,-122.88303465376904
Lougheed Station,49.24803383007546,-122.89559922849743
Coquitlam Central Station,49.275395755746345,-122.79872735219755
Haney Place,49.21948591420056,-122.59691159625963
Kootenay Loop,49.281437667124194,-123.02624057946747
Port Coquitlam Station,49.26109354564634,-122.77403746938398
Joyce Station,49.238044499034416,-123.03091748659814
Burquitlam Station,49.26131373799543,-122.8898764993362
Moody Centre Station,49.277808946079254,-122.84668740125883
New Westminster Station,49.20093934092214,-122.91292603628742
SFU Transit Exchange,49.27858357526401,-122.91272939531034
Knight Street-Marine Drive,49.2112344868737,-123.0769120194942
Brentwood Station,49.26643491622331,-123.00321057303958
Dunbar Loop,49.23449457217646,-123.1858534912937
Marine Drive Station,49.209278405120386,-123.11627970547893
VCC-Clark Station,49.26599274140727,-123.07983463292962
UBC Exchange,49.26738480139643,-123.24758549187895
Burrard Station,49.28597305385626,-123.12029312672071
Commercial-Broadway Station,49.26234639817605,-123.06976268238344
Lonsdale Quay,49.31115974705776,-123.08247089373579
Phibbs Exchange,49.30530620186588,-123.02890553558453
Capilano University,49.3193655220854,-123.01871688756555
Park Royal,49.32699579759249,-123.13847072547988
Metrotown Station,49.2259532648329,-123.00300184102042
Langley Centre,49.10636815430202,-122.65451004037757
Surrey Central Station,49.188895517893876,-122.84866507374981
Newton Exchange,49.13337594199376,-122.84198818290908
Scottsdale Exchange,49.1375887500492,-122.8880752471973
Scott Road Station,49.20432275195006,-122.87507781457722
King George Station,49.18273285796088,-122.84464917070386
Edmonds Station,49.2121322009698,-122.95850231648521
Bridgeport Station,49.19542444782598,-123.12633219442961
Carvolth Exchange,49.16035141722939,-122.66036070208557
Tsawwassen Ferry Terminal,49.006872981567675,-123.12981109527966
Richmond-Brighouse Station,49.16798802249947,-123.13620775875303
Ladner Exchange,49.0876440327534,-123.06225599852414
