candidate_name,dispensers_needed,num_sessions,num_unique_blocks
Surrey Central Station,11,543,133
Newton Exchange,8,323,96
22nd Street Station,7,228,66
Coquitlam Central Station,6,227,64
Langley Centre,6,212,70
Phibbs Exchange,6,164,44
Metrotown Station,5,280,83
UBC Exchange,5,199,68
Lougheed Station,5,159,46
Lonsdale Quay,5,124,31
Scottsdale Exchange,5,113,47
Edmonds Station,4,177,51
Scott Road Station,4,169,49
Richmond-Brighouse Station,4,166,26
Braid Station,4,142,45
Brentwood Station,4,110,42
Joyce Station,4,108,22
New Westminster Station,3,121,23
Kootenay Loop,3,114,32
Bridgeport Station,3,96,34
Port Coquitlam Station,3,85,22
Marpole Loop,2,85,17
Capilano University,2,62,7
Ladner Exchange,2,53,15
Burquitlam Station,2,52,11
Marine Drive Station,2,45,12
Burrard Station,2,42,23
King George Station,2,38,26
Haney Place,2,34,13
Northbound Knight St Bridge Offramp,2,34,12
Dunbar Loop,2,32,4
SFU Transit Exchange,1,32,13
VCC-Clark Station,1,25,6
Moody Centre Station,1,22,15
Carvolth Exchange,1,19,9
Park Royal,1,8,1
