service_id,service_label,time_sec,time_hhmm,day_offset,is_next_day,total_buses_in_candidates,dropoff_buses,recovery_buses,pickup_buses
1,MF,10320,02:52,0,0,1,0,1,0
1,MF,10380,02:53,0,0,1,0,1,0
1,MF,10440,02:54,0,0,1,0,1,0
1,MF,10500,02:55,0,0,1,0,1,0
1,MF,10560,02:56,0,0,1,0,1,0
1,MF,10620,02:57,0,0,2,0,1,1
1,MF,10680,02:58,0,0,1,0,0,1
1,MF,12120,03:22,0,0,1,0,1,0
1,MF,12180,03:23,0,0,1,0,1,0
1,MF,12240,03:24,0,0,1,0,1,0
1,MF,12300,03:25,0,0,1,0,1,0
1,MF,12360,03:26,0,0,2,0,2,0
1,MF,12420,03:27,0,0,3,0,2,1
1,MF,12480,03:28,0,0,2,0,1,1
1,MF,12540,03:29,0,0,1,0,1,0
1,MF,12600,03:30,0,0,1,0,1,0
1,MF,12660,03:31,0,0,2,0,1,1
1,MF,12720,03:32,0,0,1,0,0,1
1,MF,13980,03:53,0,0,1,0,1,0
1,MF,14040,03:54,0,0,1,0,1,0
1,MF,14100,03:55,0,0,3,0,3,0
1,MF,14160,03:56,0,0,3,0,3,0
1,MF,14220,03:57,0,0,3,0,3,0
1,MF,14280,03:58,0,0,4,0,3,1
1,MF,14340,03:59,0,0,3,0,2,1
1,MF,14400,04:00,0,0,5,1,2,2
1,MF,14460,04:01,0,0,4,1,1,2
1,MF,14520,04:02,0,0,1,0,1,0
1,MF,14580,04:03,0,0,2,0,1,1
1,MF,14640,04:04,0,0,1,0,0,1
1,MF,14880,04:08,0,0,3,0,3,0
1,MF,14940,04:09,0,0,3,0,3,0
1,MF,15000,04:10,0,0,3,0,3,0
1,MF,15060,04:11,0,0,5,0,5,0
1,MF,15120,04:12,0,0,5,0,5,0
1,MF,15180,04:13,0,0,9,0,6,3
1,MF,15240,04:14,0,0,7,0,4,3
1,MF,15300,04:15,0,0,5,0,5,0
1,MF,15360,04:16,0,0,7,0,5,2
1,MF,15420,04:17,0,0,5,0,3,2
1,MF,15480,04:18,0,0,5,0,4,1
