service_id,service_label,time_sec,time_hhmm,day_offset,is_next_day,total_buses_in_candidates,dropoff_buses,recovery_buses,pickup_buses
2,Sat,10380,02:53,0,0,1,0,1,0
2,Sat,10440,02:54,0,0,1,0,1,0
2,Sat,10500,02:55,0,0,1,0,1,0
2,Sat,10560,02:56,0,0,1,0,1,0
2,Sat,10620,02:57,0,0,1,0,1,0
2,Sat,10680,02:58,0,0,2,0,1,1
2,Sat,10740,02:59,0,0,1,0,0,1
2,Sat,12180,03:23,0,0,2,0,2,0
2,Sat,12240,03:24,0,0,2,0,2,0
2,Sat,12300,03:25,0,0,2,0,2,0
2,Sat,12360,03:26,0,0,2,0,2,0
2,Sat,12420,03:27,0,0,2,0,2,0
2,Sat,12480,03:28,0,0,4,0,2,2
2,Sat,12540,03:29,0,0,2,0,0,2
2,Sat,14100,03:55,0,0,1,0,1,0
2,Sat,14160,03:56,0,0,1,0,1,0
2,Sat,14220,03:57,0,0,1,0,1,0
2,Sat,14280,03:58,0,0,1,0,1,0
2,Sat,14340,03:59,0,0,1,0,1,0
2,Sat,14400,04:00,0,0,3,1,1,1
2,Sat,14460,04:01,0,0,3,1,1,1
2,Sat,14520,04:02,0,0,1,0,1,0
2,Sat,14580,04:03,0,0,1,0,1,0
2,Sat,14640,04:04,0,0,1,0,1,0
2,Sat,14700,04:05,0,0,2,0,1,1
2,Sat,14760,04:06,0,0,1,0,0,1
2,Sat,15180,04:13,0,0,1,0,1,0
2,Sat,15240,04:14,0,0,1,0,1,0
2,Sat,15300,04:15,0,0,2,0,2,0
2,Sat,15360,04:16,0,0,2,0,2,0
2,Sat,15420,04:17,0,0,2,0,2,0
2,Sat,15480,04:18,0,0,3,0,2,1
2,Sat,15540,04:19,0,0,2,0,1,1
2,Sat,15600,04:20,0,0,2,0,1,1
2,Sat,15660,04:21,0,0,1,0,0,1
2,Sat,15900,04:25,0,0,2,0,2,0
2,Sat,15960,04:26,0,0,2,0,2,0
2,Sat,16020,04:27,0,0,2,0,2,0
2,Sat,16080,04:28,0,0,3,0,3,0
2,Sat,16140,04:29,0,0,3,0,3,0
2,Sat,16200,04:30,0,0,6,1,3,2
2,Sat,16260,04:31,0,0,5,1,2,2
2,Sat,16320,04:32,0,0,2,0,2,0
